time,Brachiarod, EXt Carp,EXT DIG,Flex CarpU,Flex Carp R
450.98,-13.42047033,-6.645642545,7.343120819,-6.673096315,-7.016115916
450.9805,-8.537359806,-8.476808991,32.67425666,-3.621152238,-3.048588616
450.981,-1.823082836,-7.561225768,50.98592112,-1.179596976,-4.269366247
450.9815,-0.9074996131,-7.25603136,41.21970007,-3.010763422,-3.048588616
450.982,-2.738666059,-10.61316985,23.21323002,-6.367901907,2.75010513
450.9825,-2.738666059,-14.58069715,22.6028412,-8.199068353,9.4643821
450.983,-0.6023052054,-15.49628037,33.89503429,-6.673096315,11.29554855
450.9835,0.008083609999,-12.13914188,37.86256159,-3.621152238,7.633215653
450.984,1.228861241,-6.950836953,36.03139514,-0.8744025684,1.529327499
450.9845,4.585999726,-2.983309652,38.77814481,0.04118065471,-0.9122277624
450.985,7.332749395,-2.372920837,40.30411685,0.04118065471,0.9189386839
450.9855,6.111971764,-4.204087283,26.5703685,0.3463750624,4.581271576
450.986,2.449638872,-5.119670506,0.01845503415,1.872347101,4.276077169
450.9865,1.839250056,-2.678115245,-25.31268081,3.703513547,0.003355460754
450.987,5.196388541,0.9842176476,-40.57240119,4.008707955,-2.133005393
450.9875,7.94313821,2.815384094,-43.31915086,3.093124732,-0.6070333546
450.988,7.637943803,2.815384094,-32.63734659,1.567152693,0.6137442762
450.9885,4.280805318,3.425772909,-12.79971009,0.3463750624,0.003355460754
450.989,-0.2971107977,5.562133763,2.765204703,0.04118065471,-1.21742217
450.9895,-4.875026913,6.782911394,6.732732004,0.9567638778,-0.3018389469
450.99,-7.92697099,5.562133763,3.680787927,3.398319139,0.3085498685
450.9905,-9.452943029,3.730967317,1.239232665,4.313902363,0.003355460754
450.991,-9.452943029,3.730967317,-0.5919337813,1.872347101,-1.522616578
450.9915,-8.537359806,4.64655054,-3.338683451,-2.095180199,-1.827810985
450.992,-6.706193359,4.341356132,-3.033489043,-4.536735461,-1.21742217
450.9925,-5.485415729,2.815384094,0.3236494419,-4.231541053,-0.6070333546
450.993,-5.485415729,2.510189686,0.9340382573,-2.705569015,0.6137442762
450.9935,-4.569832506,4.64655054,-3.338683451,-1.179596976,1.529327499
450.994,-1.212694021,7.698494617,-4.864655489,-0.5692081607,0.003355460754
450.9945,2.144444464,9.834855471,0.01845503415,-0.8744025684,-3.658977432
450.995,2.754833279,10.44524429,2.460010296,-1.484791384,-4.879755062
450.9955,0.6184724254,9.224466656,-1.812711412,-1.789985791,-2.743394209
450.996,0.008083609999,5.867328171,-7.001016343,-1.484791384,-0.6070333546
450.9965,1.534055649,1.594606463,-6.08543312,-0.8744025684,-0.6070333546
450.997,3.060027687,-0.8469487986,-3.949072266,-0.5692081607,-1.522616578
450.9975,1.839250056,0.06863442452,-6.695821935,0.04118065471,-0.9122277624
450.998,0.008083609999,2.510189686,-9.137377197,0.6515694701,-0.6070333546
450.9985,-0.6023052054,2.815384094,-7.001016343,1.261958286,-1.522616578
450.999,-0.9074996131,0.9842176476,-4.864655489,0.6515694701,-2.743394209
450.9995,-1.823082836,0.06863442452,-7.916599566,0.04118065471,-3.048588616
451.0,-2.433471652,0.06863442452,-10.96854364,0.04118065471,-2.438199801
451.0005,-1.823082836,-0.5417543909,-6.390627528,0.3463750624,-1.827810985
451.001,-1.517888429,-2.067726429,-0.2867393736,0.3463750624,-1.522616578
451.0015,-2.738666059,-2.983309652,-1.812711412,-0.264013753,-0.6070333546
451.002,-3.654249282,-2.372920837,-6.08543312,0.04118065471,0.6137442762
451.0025,-1.212694021,-3.593698468,-3.033489043,3.093124732,2.139716315
451.003,2.754833279,-7.25603136,7.343120819,6.755457624,4.581271576
451.0035,4.891194133,-10.61316985,15.88856423,6.755457624,6.412438022
451.004,1.534055649,-9.392392214,17.71973068,3.398319139,5.496854799
451.0045,-3.95944369,-5.730059322,16.49895305,0.6515694701,2.139716315
451.005,-5.180221321,-2.983309652,14.05739779,1.872347101,0.003355460754
451.0055,0.6184724254,-3.898892876,11.31064812,3.703513547,0.6137442762
451.006,9.163915841,-5.730059322,9.784676081,3.093124732,3.055299538
451.0065,11.91066551,-6.645642545,9.479481673,-0.264013753,4.886465984
451.007,7.027554987,-5.424864914,2.154815888,-2.705569015,4.886465984
451.0075,0.3132780177,-2.983309652,-14.02048772,-1.789985791,3.970882761
451.008,-1.823082836,-0.2365599832,-27.14384725,0.6515694701,2.444910722
451.0085,-0.2971107977,2.204995278,-23.78670877,2.787930324,1.224133092
451.009,1.534055649,3.425772909,-11.57893246,2.787930324,0.9189386839
451.0095,3.060027687,3.120578502,-8.221793974,1.567152693,1.529327499
451.01,3.97561091,2.510189686,-15.24126535,0.9567638778,1.529327499
451.0105,3.365222095,3.730967317,-18.29320943,1.261958286,1.224133092
451.011,0.9236668331,6.782911394,-12.79971009,1.872347101,1.224133092
451.0115,-0.9074996131,10.44524429,-8.526988381,0.6515694701,1.834521907
451.012,-1.823082836,12.88679955,-9.747766012,-2.705569015,1.529327499
451.0125,-2.738666059,12.88679955,-7.306210751,-4.536735461,0.003355460754
451.013,-3.95944369,12.27641073,4.59637115,-3.010763422,-2.743394209
451.0135,-2.433471652,12.27641073,20.77167476,0.04118065471,-5.795338286
451.014,2.449638872,12.58160514,32.67425666,0.04118065471,-8.847282363
451.0145,6.722360579,12.27641073,37.86256159,-2.095180199,-10.06805999
451.015,7.027554987,11.0556331,34.2002287,-3.010763422,-8.236893547
451.0155,7.332749395,9.224466656,20.16128594,-0.5692081607,-3.658977432
451.016,12.82624873,5.562133763,6.122343188,2.482735916,0.6137442762
451.0165,20.45610893,0.3738288322,5.206759965,3.703513547,2.444910722
451.017,23.2028586,-3.28850406,17.10934187,3.093124732,2.444910722
451.0175,19.84572011,-2.983309652,28.40153495,2.482735916,1.224133092
451.018,16.48858163,0.6790232399,34.2002287,2.787930324,-0.9122277624
451.0185,15.87819281,3.425772909,38.167756,3.093124732,-2.743394209
451.019,13.43663755,0.6790232399,32.06386784,3.093124732,-1.522616578
451.0195,4.280805318,-5.424864914,2.154815888,3.093124732,2.139716315
451.02,-8.537359806,-9.087197807,-40.8775956,3.093124732,5.802049207
451.0205,-18.60877526,-9.087197807,-64.6827594,1.872347101,6.412438022
451.021,-22.27110815,-9.697586622,-50.94901105,-1.179596976,5.802049207
451.0215,-21.05033052,-14.27550274,-20.42957028,-5.147124276,7.633215653
451.022,-17.69319204,-19.46380767,-0.2867393736,-5.757513092,10.68515973
451.0225,-12.50488711,-20.37939089,8.258704042,-2.705569015,10.68515973
451.023,-6.706193359,-16.41186359,17.10934187,0.3463750624,6.71763243
451.0235,-2.433471652,-13.05472511,23.21323002,1.261958286,2.139716315
451.024,-1.212694021,-13.05472511,14.6677866,0.3463750624,1.834521907
451.0245,-2.433471652,-13.35991951,-7.916599566,0.04118065471,6.107243615
451.025,-3.349054875,-11.22355866,-33.85812422,1.567152693,11.29554855
451.0255,-3.043860467,-6.950836953,-52.7801775,2.482735916,13.4319094
451.026,-1.517888429,-3.898892876,-56.44251039,1.567152693,12.51632618
451.0265,-0.6023052054,-3.593698468,-40.57240119,0.04118065471,10.37996532
451.027,0.6184724254,-3.593698468,-15.54645976,-0.5692081607,6.71763243
451.0275,2.449638872,-2.372920837,-1.202322597,-0.5692081607,1.529327499
451.028,3.060027687,0.3738288322,-1.202322597,-1.179596976,-4.574560655
451.0285,-0.2971107977,3.120578502,2.765204703,-2.095180199,-9.762865586
451.029,-5.790610136,4.64655054,22.6028412,-2.400374607,-11.89922644
451.0295,-8.842554213,4.951744948,38.77814481,-1.484791384,-9.762865586
451.03,-7.621776583,5.256939355,29.62231258,-0.5692081607,-4.879755062
451.0305,-5.180221321,6.782911394,3.375593519,-0.264013753,0.003355460754
451.031,-4.569832506,9.224466656,-10.35815483,-0.8744025684,1.529327499
451.0315,-4.569832506,10.14004988,-4.559461081,-2.400374607,0.3085498685
451.032,-1.823082836,9.224466656,4.291176742,-2.705569015,-1.827810985
451.0325,1.228861241,8.003689025,4.59637115,-1.789985791,-3.353783024
451.033,1.839250056,8.308883432,2.765204703,-1.179596976,-3.658977432
451.0335,0.3132780177,9.224466656,7.343120819,-1.789985791,-3.048588616
451.034,0.008083609999,8.919272248,13.14181457,-2.400374607,-2.743394209
451.0345,0.9236668331,8.003689025,11.92103693,-1.484791384,-3.048588616
451.035,0.3132780177,7.393300209,5.511954373,0.04118065471,-4.269366247
451.0355,-2.128277244,6.172522579,0.3236494419,-0.264013753,-4.879755062
451.036,-3.654249282,4.036161725,-0.897128189,-1.789985791,-3.964171839
451.0365,-2.128277244,2.510189686,-1.812711412,-1.484791384,-2.438199801
451.037,0.9236668331,3.425772909,-3.643877858,0.6515694701,-2.133005393
451.0375,2.449638872,5.562133763,-7.611405158,1.872347101,-3.048588616
451.038,2.449638872,4.341356132,-12.79971009,0.3463750624,-2.438199801
451.0385,2.754833279,-0.2365599832,-17.3776262,-0.264013753,0.3085498685
451.039,3.670416502,-5.119670506,-17.0724318,0.9567638778,3.360493945
451.0395,3.060027687,-6.950836953,-11.88412687,2.177541509,4.276077169
451.04,2.144444464,-6.950836953,-6.390627528,1.261958286,3.360493945
